,Star_name,Distance,Mass,Radius,Gravity
198,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,1599.0828753069409
199,2MASS J20004841-7523070,105.0,0.023864700000000003,0.19319444,175.36531952079122
200,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,1237.470248457338
201,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413646
202,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779167
203,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739,68.84143200551664
204,HB 2124-4228,113.0,0.08973127199999999,0.12434323,1591.7560663764139
205,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1237.470248457338
206,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028
207,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,308.3463412722992
208,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998,336.7014134799192
209,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854
210,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999996,1178.454947179717
211,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,1673.3068242582376
212,2MASSW J2244316+204343,56.0,0.011455056000000002,0.13256426999999998,178.78094402431134
213,2MASS J23224684-3133231,56.0,0.022910112000000003,0.14284056999999994,307.964772994003
214,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,166.7147684085729
215,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998,1621.3847891693524
216,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969
217,WISE 0410+1502,20.0,0.005727528000000001,0.12023270999999998,108.66731278795255
218,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.082013105928034
219,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.169284911753024
220,WISE 1405+5534,25.3,0.02863764,0.08837618,1005.6428101367508
